x,y,z,M,R,ID
87.94964,50.541054,4.4824934,8.3801632E13,892.90265,27000000000009
72.731865,28.660389,26.748432,9.6010387E13,934.3391,27000000000010
84.83258,47.33506,8.138619,1.00292838E14,948.019,27000000000008
61.24843,33.078022,20.234549,1.11284582E14,981.44794,27000000000007
77.84803,76.96866,42.27836,1.38062059E14,1054.5605,27000000000005
76.13516,89.2275,41.887394,1.38486892E14,1055.6451,27000000000006
18.11692,79.88503,53.51239,1.72183477E14,1135.1216,27000000000001
10.956322,81.293434,54.89077,1.8492381E14,1162.4763,27000000000004
9.122603,35.035015,54.5236,2.89482943E14,1349.7325,27000000000002
52.425648,4.996927,20.125082,2.93830323E14,1356.4794,27000000000003
5.717667,75.61041,47.477654,3.41844802E14,1426.7043,27000000000000

